icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,heading,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
89913c,UIA8626 ,Taiwan,1784797435.0,1784797435,120.4103,24.2816,3413.76,False,127.71,46.14,0.0,,3596.64,2150,False,0,2026-07-23 09:04:03.321935
49d2b7,EWG5Y   ,Czech Republic,1784797435.0,1784797435,18.1173,46.3926,12192.0,False,216.93,308.94,0.0,,12496.8,5436,False,0,2026-07-23 09:04:03.321935
ab4866,DAL313  ,United States,1784797434.0,1784797435,-101.9421,43.9032,11887.2,False,266.42,79.99,-0.65,,12595.86,,False,0,2026-07-23 09:04:03.321935
a875da,UAL322  ,United States,1784797435.0,1784797435,2.9599,49.5778,10203.18,False,221.62,323.21,8.13,,10576.56,7531,False,0,2026-07-23 09:04:03.321935
01b35d,,Libyan Arab Jamahiriya,1784797357.0,1784797360,26.4695,40.7574,2979.42,False,51.88,97.41,0.0,,3078.48,,False,0,2026-07-23 09:04:03.321935
4076a7,GIBEA   ,United Kingdom,1784797435.0,1784797435,-0.2977,52.1714,1028.7,False,53.53,256.1,-0.33,,1165.86,4671,False,0,2026-07-23 09:04:03.321935
845f78,JJP519  ,Japan,1784797435.0,1784797435,140.5318,35.5236,2971.8,False,154.82,188.02,12.03,,3116.58,3331,False,0,2026-07-23 09:04:03.321935
4481af,,Belgium,1784797433.0,1784797433,4.5028,50.9022,,True,3.09,199.69,,,,,False,0,2026-07-23 09:04:03.321935
0c21e0,CMP820  ,Panama,1784797435.0,1784797435,-69.3181,-3.424,10972.8,False,237.54,315.26,0.0,,11696.7,,False,0,2026-07-23 09:04:03.321935
502d5e,SWR36K  ,Latvia,1784797434.0,1784797435,-5.2229,41.762,11277.6,False,200.65,233.86,0.0,,11887.2,3730,False,0,2026-07-23 09:04:03.321935
502d5d,BTI38N  ,Latvia,1784796327.0,1784797433,24.301,54.913,10363.2,False,188.43,296.08,9.1,,5905.5,3534,False,0,2026-07-23 09:04:03.321935
502d5f,BTI9UG  ,Latvia,1784797435.0,1784797435,10.8221,54.8093,10668.0,False,196.58,61.56,0.0,,10835.64,0160,False,0,2026-07-23 09:04:03.321935
502d5a,BTI7EG  ,Latvia,1784797434.0,1784797435,12.2244,52.5468,10668.0,False,215.33,39.28,0.0,,10774.68,1000,False,0,2026-07-23 09:04:03.321935
502d5c,SWR2HC  ,Latvia,1784797435.0,1784797435,8.7683,46.9133,5417.82,False,183.11,354.03,-7.8,,5654.04,1000,False,0,2026-07-23 09:04:03.321935
ac05b3,FDX90   ,United States,1784797434.0,1784797434,-127.1097,49.086,10408.92,False,242.17,114.61,3.25,,10820.4,,False,0,2026-07-23 09:04:03.321935
4caff6,RYR1WB  ,Ireland,1784797434.0,1784797434,5.3477,50.8623,8046.72,False,230.37,253.79,6.5,,8336.28,4133,False,0,2026-07-23 09:04:03.321935
4caff7,RYR7EK  ,Ireland,1784797435.0,1784797435,10.5874,44.4135,7810.5,False,263.54,142.06,7.48,,8138.16,7466,False,0,2026-07-23 09:04:03.321935
4caff8,RYR78FR ,Ireland,1784797434.0,1784797435,10.0803,45.4445,2072.64,False,122.71,303.89,-1.63,,2202.18,2040,False,0,2026-07-23 09:04:03.321935
8990a6,CAL5345 ,Taiwan,1784797435.0,1784797435,-97.2935,36.7591,12192.0,False,238.33,276.82,0.0,,12999.72,7114,False,0,2026-07-23 09:04:03.321935
407797,EZY31WA ,United Kingdom,1784797435.0,1784797435,-0.5106,38.3536,8618.22,False,215.04,21.47,8.45,,9220.2,5525,False,0,2026-07-23 09:04:03.321935
407798,BAW3GB  ,United Kingdom,1784797435.0,1784797435,-109.4324,37.1074,11887.2,False,260.79,29.55,0.0,,12679.68,0776,False,0,2026-07-23 09:04:03.321935
8990a5,CAL5310 ,Taiwan,1784797434.0,1784797434,-109.9228,51.4846,10668.0,False,288.31,106.27,0.0,,11132.82,,False,0,2026-07-23 09:04:03.321935
01024d,MSC2970 ,Egypt,1784797434.0,1784797435,17.0625,47.757,10988.04,False,216.31,324.19,0.33,,11163.3,7737,False,0,2026-07-23 09:04:03.321935
3964eb,TVF8284 ,France,1784797369.0,1784797369,10.3374,37.5194,3086.1,False,165.44,185.71,-2.6,,3398.52,7652,False,0,2026-07-23 09:04:03.321935
407796,EZY65BP ,United Kingdom,1784797434.0,1784797434,-10.8932,37.3394,11285.22,False,209.05,198.21,0.0,,11948.16,5411,False,0,2026-07-23 09:04:03.321935
